nama_daerah,jumlah_kejahatan,risiko_penduduk,jumlah_desa/kelurahan_upaya,jumlah_desa/kelurahan_pospolisi
Aceh,8758,169,9430,353
Sumatera Utara,32922,231,6409,481
Sumatera Barat,12953,243,3007,226
Riau,7246,109,3889,550
Jambi,6313,180,3316,207
Sumatera Selatan,13558,164,7364,381
Bengkulu,3389,175,3351,130
Lampung,8963,108,7246,280
Kepulauan Bangka Belitung,2048,143,886,91
Kepulauan Riau,3409,164,792,113
DKI Jakarta,34655,137,756,222
Jawa Barat,16209,42,17627,910
Jawa Tengah,9127,27,20087,930
Daerah Istimewa Yogyakarta,6731,179,1337,114
Jawa Timur,26295,67,21266,1127
Banten,3623,54,4175,209
Bali,3212,76,1454,140
Nusa Tenggara Barat,6451,130,2674,176
Nusa Tenggara Timur,6257,118,4175,327
Kalimantan Barat,5814,118,3530,283
Kalimantan Tengah,5699,138,3445,201
Kalimantan Selatan,2667,102,3707,235
Kalimantan Timur,6287,176,2347,203
Kalimantan Utara,396,57,805,66
Sulawesi Utara,10247,416,4368,174
Sulawesi Tengah,9379,316,4188,293
Sulawesi Selatan,21498,255,5669,381
Sulawesi Tenggara,1263,49,3425,205
Gorontalo,2836,243,1290,77
Sulawesi Barat,1817,144,1070,62
Maluku,2751,158,1441,135
Maluku Utara,722,60,1636,121
Papua Barat,3475,380,970,113
Papua,7311,224,2314,243
